Mind Wandering Reported, Answer (0 = Mind Wandered)
2022-03-13T14:33:59.759401, 0
2022-03-13T14:33:59.809420, 0
2022-03-13T14:34:04.192820, 0
2022-03-13T14:34:09.258952, 0
2022-03-13T14:34:14.393004, 0
2022-03-13T14:34:16.358994, 0
2022-03-13T14:34:19.526384, 0
2022-03-13T14:34:24.309705, 0
2022-03-13T14:34:29.309899, 0
2022-03-13T14:34:34.359144, 0
2022-03-13T14:34:39.293258, 0
2022-03-13T14:34:44.360040, 0
2022-03-13T14:34:49.410144, 0
2022-03-13T14:34:54.759434, 0
2022-03-13T14:34:54.810212, 0
2022-03-13T14:34:59.393631, 0
2022-03-13T14:35:03.275895, 0
2022-03-13T14:35:09.142876, 0
2022-03-13T14:35:14.593864, 0
2022-03-13T14:35:19.359753, 0
2022-03-13T14:35:24.543321, 0
2022-03-13T14:35:29.177183, 0
2022-03-13T14:35:34.426415, 0
2022-03-13T14:35:39.277249, 0
2022-03-13T14:35:44.394318, 0
2022-03-13T14:35:49.361086, 0
