Question Generated, Question Reported, Arithmetic Question, Answer (1 = Correct, 0 = Incorrect)
2022-03-08T15:51:55.320004, 2022-03-08T15:52:01.125271, 97 + 89 = 186, 1
2022-03-08T15:52:01.125374, 2022-03-08T15:52:08.491713, 53 - 24 = 29, 1
2022-03-08T15:52:08.491780, 2022-03-08T15:52:10.424562, 29 / 8 = 3.7, 1
2022-03-08T15:52:10.424725, 2022-03-08T15:52:14.625344, 42 / 7 = 6.0, 1
2022-03-08T15:52:14.625477, 2022-03-08T15:52:16.908079, 53 + 2 = 55, 1
2022-03-08T15:52:16.908201, 2022-03-08T15:52:19.558724, 90 + 81 = 171, 1
2022-03-08T15:52:19.558840, 2022-03-08T15:52:23.975130, 67 - 91 = -24, 1
2022-03-08T15:52:23.975168, 2022-03-08T15:52:28.858496, 83 - 54 = 29, 1
2022-03-08T15:52:28.858533, 2022-03-08T15:52:34.308014, 28 - 79 = -51, 1
2022-03-08T15:52:34.308105, 2022-03-08T15:52:38.875233, 11 - 24 = -13, 1
2022-03-08T15:52:38.875294, 2022-03-08T15:52:44.158677, 70 / 4 = 17.5, 1
2022-03-08T15:52:44.158735, 2022-03-08T15:52:51.358922, 25 - 19 = 6, 1
2022-03-08T15:52:51.359012, 2022-03-08T15:52:53.691330, 61 - 90 = -29, 1
2022-03-08T15:52:53.691369, 2022-03-08T15:52:59.458851, 29 - 66 = -37, 1
2022-03-08T15:52:59.458911, 2022-03-08T15:53:02.875656, 21 - 41 = -20, 1
2022-03-08T15:53:02.875786, 2022-03-08T15:53:05.425250, 84 - 89 = -5, 1
2022-03-08T15:53:05.425365, 2022-03-08T15:53:07.492328, 3 + 75 = 78, 1
2022-03-08T15:53:07.492599, 2022-03-08T15:53:11.709021, 17 / 6 = 2.9, 1
2022-03-08T15:53:11.709103, 2022-03-08T15:53:16.809049, 9 - 72 = -63, 1
2022-03-08T15:53:16.809186, 2022-03-08T15:53:24.591799, 21 / 6 = 3.5, 1
2022-03-08T15:53:24.591883, 2022-03-08T15:53:32.542532, 31 * 6 = 186, 1
2022-03-08T15:53:32.542765, 2022-03-08T15:53:37.259170, 39 / 9 = 4.4, 1
2022-03-08T15:53:37.259292, 2022-03-08T15:53:38.808926, 55 / 5 = 11.0, 1
2022-03-08T15:53:38.808989, 2022-03-08T15:53:45.558681, 33 / 4 = 8.3, 1
2022-03-08T15:53:45.558762, 2022-03-08T15:53:49.359266, 2 + 39 = 41, 1
2022-03-08T15:53:49.359350, 2022-03-08T15:53:51.658144, 77 + 23 = 100, 1
