%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 256 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
%Channels = Fp1, Fp2, F3, F4, Fz, Pz, O1, O2
%Data recorded at AIMS Lab (http://aimsl.uiu.ac.bd) by Rana Depto (mail@ranadepto.com)
%Brainwaves were obtained via the Ultracortex Mark IV Headset using the OpenBCI Cyton Board
%Recording Application = ConcentrateToday (https://concentrate.today)
%Data type = RAW data with noise
%Day No = 4
%Subject ID = 2
%Session ID = 7
%Record starting timestamp (UTC+6) = 2022-03-09T12:45:54.328531
%Record ending timestamp (UTC+6)   = 2022-03-09T12:46:10.203504
%Recorded durations = ~15 seconds
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
219.000000,33280.004058,32880.019591,20411.322464,-16.115608,26554.632372,18871.644899,11998.930514,15277.953777,-0.048000,0.956000,0.220000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.328275,0.000000
220.000000,33279.355857,32880.243108,20415.099909,-11.377038,26558.633334,18880.317376,12008.541764,15288.056766,-0.048000,0.956000,0.220000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.328426,0.000000
221.000000,33279.489968,32884.244071,20414.585819,-12.785198,26558.946259,18878.864512,12007.692398,15288.012062,-0.048000,0.956000,0.220000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.334681,0.000000
222.000000,33287.693058,32891.888367,20418.072691,-7.063151,26563.103683,18878.506884,12005.256057,15283.295844,-0.048000,0.956000,0.220000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.334689,0.000000
223.000000,33280.607555,32882.992373,20408.349682,-15.623869,26554.341800,18868.761524,11996.874153,15268.677803,-0.044000,0.960000,0.214000,192.000000,254.000000,160.000000,30.000000,0.000000,6.000000,176.000000,0.000000,0.000000,0.000000,1646808354.342652,0.000000
224.000000,33284.183834,32881.070123,20409.467269,-16.182663,26555.951125,18872.427210,12005.367816,15277.953777,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.342657,0.000000
225.000000,33296.320831,32892.223643,20422.744205,-4.693866,26570.390352,18888.967501,12020.768168,15299.590266,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.350639,0.000000
226.000000,33292.677497,32891.798960,20420.196106,-6.571413,26567.529329,18888.721632,12015.068473,15304.775870,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.350643,0.000000
227.000000,33290.643488,32892.268347,20417.223324,-8.806587,26564.221271,18880.652652,12008.407653,15296.550428,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.357777,0.000000
228.000000,33291.716372,32888.557957,20417.424490,-10.930003,26563.483663,18878.931568,12001.746834,15288.146173,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.357782,0.000000
229.000000,33291.269337,32880.623088,20413.803508,-17.523768,26559.817977,18877.076373,12005.814851,15286.514495,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.364218,0.000000
230.000000,33289.637660,32887.775646,20418.206801,-14.439227,26563.707180,18878.126905,12006.060720,15286.626254,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.364223,0.000000
231.000000,33289.347087,32896.202254,20423.772386,-10.952355,26566.590555,18881.032632,12015.515508,15289.889609,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.372311,0.000000
232.000000,33273.007962,32886.322783,20411.590685,-20.720067,26554.587669,18869.186207,12000.450432,15275.562140,-0.044000,0.960000,0.214000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.380355,0.000000
233.000000,33277.143035,32886.814521,20413.311769,-19.535425,26556.420512,18873.835370,12002.305627,15281.552408,-0.044000,0.956000,0.218000,192.000000,254.000000,160.000000,29.000000,224.000000,6.000000,208.000000,0.000000,0.000000,0.000000,1646808354.380361,0.000000
234.000000,33294.242119,32897.029268,20422.431281,-10.974707,26564.914175,18877.769277,11996.605932,15277.462039,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.387416,0.000000
235.000000,33300.813532,32904.852379,20429.360322,-4.850329,26571.127960,18882.843123,11999.623418,15284.011100,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.387421,0.000000
236.000000,33293.392753,32900.247920,20429.539136,-6.571413,26568.915137,18886.128829,12011.223973,15294.941103,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.394957,0.000000
237.000000,33284.429703,32889.832007,20419.726720,-17.747285,26556.129939,18870.415553,11995.600104,15273.237559,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.394962,0.000000
238.000000,33281.300459,32885.361658,20417.379787,-18.417837,26553.693599,18863.732381,11989.431022,15262.061687,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.404302,0.000000
239.000000,33288.967107,32892.290699,20424.331179,-9.745361,26562.053151,18873.835370,11999.265790,15283.295844,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.404306,0.000000
240.000000,33291.425799,32896.314013,20421.201935,-11.444093,26560.086198,18872.494265,11997.611761,15284.256969,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.410941,0.000000
241.000000,33298.779523,32900.002050,20428.041569,-10.773541,26562.679000,18875.422344,12002.640903,15289.442574,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.410945,0.000000
242.000000,33294.040953,32899.979699,20430.902592,-5.386770,26562.835462,18877.389297,12000.338674,15282.334719,-0.044000,0.956000,0.218000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.417547,0.000000
243.000000,33292.230462,32901.745486,20432.198993,-4.068017,26561.628468,18879.199788,12001.903296,15277.015004,-0.048000,0.952000,0.224000,192.000000,254.000000,128.000000,29.000000,192.000000,7.000000,0.000000,0.000000,0.000000,0.000000,1646808354.417551,0.000000
244.000000,33281.747494,32889.072047,20420.285513,-14.930965,26549.938506,18872.494265,11992.470860,15273.729297,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.425521,0.000000
245.000000,33295.851445,32901.343155,20428.421548,-5.789102,26559.214480,18885.123001,12001.389206,15284.838114,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.425524,0.000000
246.000000,33289.347087,32900.896120,20422.274819,-10.438265,26554.878241,18885.167704,12000.718653,15282.804106,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.432592,0.000000
247.000000,33288.095389,32899.331498,20419.302037,-13.835730,26551.145500,18884.184227,11999.690473,15281.194780,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.439689,0.000000
248.000000,33293.973898,32905.858207,20423.124185,-10.147692,26553.157157,18888.185190,12003.557325,15283.675824,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.439693,0.000000
249.000000,33292.006945,32905.589987,20422.364226,-10.550023,26550.631410,18889.302777,12005.323113,15283.742879,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.447194,0.000000
250.000000,33291.872834,32905.187655,20421.626618,-11.086465,26549.580878,18888.811039,12005.390168,15279.563103,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.447197,0.000000
251.000000,33287.246023,32903.220702,20417.849173,-10.773541,26549.536174,18888.788687,12005.658389,15289.062594,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.455230,0.000000
252.000000,33279.311154,32897.699821,20413.982321,-14.148654,26544.998770,18881.032632,12002.573848,15283.765231,-0.048000,0.952000,0.224000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1646808354.455233,0.000000
253.000000,33283.289764,32900.270271,20421.067824,-11.153520,26549.245602,18881.926701,12001.568020,15284.748707,-0.048000,0.948000,0.226000,192.000000,254.000000,128.000000,29.000000,160.000000,7.000000,16.000000,0.000000,0.000000,0.000000,1646808354.463209,0.000000
